2022-06-14 00:28:36,328::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.686, 'ramStatus': {'total': 4025397248, 'used': 118534144, 'free': 3715776512}}} Heartbeat On HeartBeat
2022-06-14 00:29:07,061::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.147, 'ramStatus': {'total': 4025397248, 'used': 119107584, 'free': 3715186688}}} Heartbeat On HeartBeat
2022-06-14 00:29:37,884::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.147, 'ramStatus': {'total': 4025397248, 'used': 119099392, 'free': 3715186688}}} Heartbeat On HeartBeat
2022-06-14 00:30:08,671::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 118681600, 'free': 3715596288}}} Heartbeat On HeartBeat
2022-06-14 00:30:39,458::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.199, 'ramStatus': {'total': 4025397248, 'used': 118673408, 'free': 3715596288}}} Heartbeat On HeartBeat
2022-06-14 00:31:10,185::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.147, 'ramStatus': {'total': 4025397248, 'used': 118665216, 'free': 3715596288}}} Heartbeat On HeartBeat
2022-06-14 00:31:41,040::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 118648832, 'free': 3715596288}}} Heartbeat On HeartBeat
2022-06-14 00:32:11,776::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119341056, 'free': 3714879488}}} Heartbeat On HeartBeat
2022-06-14 00:32:42,494::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119431168, 'free': 3714781184}}} Heartbeat On HeartBeat
2022-06-14 00:33:13,295::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119422976, 'free': 3714781184}}} Heartbeat On HeartBeat
